Draft Class,Card Name,Rarity,Type,Card Class,Average,P(1 or more),P(2 or more),P(3 or more)
Druid,Toxicologist,common,Minion,neutral,0.54209,0.42171,0.10123,0.01704
Druid,Mecharoo,common,Minion,neutral,0.53973,0.42022,0.10115,0.01636
Druid,Tanglefur Mystic,common,Minion,neutral,0.53963,0.42139,0.09972,0.01624
Druid,Swift Messenger,common,Minion,neutral,0.53911,0.42115,0.09958,0.01616
Druid,Electrowright,common,Minion,neutral,0.53806,0.41869,0.10104,0.01631
Druid,Ravencaller,common,Minion,neutral,0.5369,0.42033,0.0986,0.01612
Druid,Wargear,common,Minion,neutral,0.53629,0.41719,0.10081,0.0161
Druid,Deranged Doctor,common,Minion,neutral,0.52997,0.41478,0.09772,0.01544
Druid,Walnut Sprite,common,Minion,neutral,0.52968,0.41404,0.09841,0.01526
Druid,Rotten Applebaum,common,Minion,neutral,0.52582,0.41283,0.09618,0.01488
Druid,Saronite Chain Gang,rare,Minion,neutral,0.52166,0.41619,0.09122,0.01295
Druid,Stonehill Defender,rare,Minion,neutral,0.51075,0.40953,0.08874,0.01138
Druid,Shellshifter,rare,Minion,druid,0.50859,0.40902,0.08734,0.01136
Druid,Swipe,basic,Spell,druid,0.47978,0.38331,0.0831,0.012
Druid,Webweave,common,Spell,druid,0.4781,0.38235,0.08206,0.01217
Druid,Arcane Dynamo,rare,Minion,neutral,0.47638,0.38611,0.07926,0.01003
Druid,Cloakscale Chemist,common,Minion,neutral,0.47338,0.37971,0.08095,0.01154
Druid,Coppertail Imposter,common,Minion,neutral,0.47329,0.38144,0.07948,0.01116
Druid,Upgradeable Framebot,common,Minion,neutral,0.47211,0.37848,0.08141,0.01112
Druid,Skaterbot,common,Minion,neutral,0.47027,0.37887,0.07879,0.01133
Druid,Steel Rager,common,Minion,neutral,0.47023,0.37676,0.08099,0.01119
Druid,Lone Champion,rare,Minion,neutral,0.47,0.38407,0.07584,0.00927
Druid,Kaboom Bot,common,Minion,neutral,0.4691,0.37651,0.08022,0.01128
Druid,Primordial Drake,epic,Minion,neutral,0.45962,0.37705,0.07316,0.0086
Druid,Gilnean Royal Guard,rare,Minion,neutral,0.45685,0.37559,0.07238,0.00829
Druid,Ancient of War,epic,Minion,druid,0.45563,0.37365,0.07276,0.0085
Druid,Missile Launcher,rare,Minion,neutral,0.44249,0.36569,0.06855,0.00761
Druid,Rockpool Hunter,common,Minion,neutral,0.43201,0.35217,0.06972,0.00916
Druid,Sated Threshadon,common,Minion,neutral,0.42977,0.35284,0.0675,0.00855
Druid,Pumpkin Peasant,common,Minion,neutral,0.42412,0.34748,0.06676,0.00899
Druid,Bone Drake,rare,Minion,neutral,0.41537,0.34598,0.06206,0.00677
Druid,Phantom Militia,rare,Minion,neutral,0.41177,0.34496,0.05994,0.00631
Druid,Witchwood Grizzly,rare,Minion,neutral,0.40998,0.34321,0.05949,0.00678
Druid,Giggling Inventor,rare,Minion,neutral,0.40768,0.34218,0.05929,0.0057
Druid,Greedy Sprite,rare,Minion,druid,0.39294,0.32871,0.0571,0.00644
Druid,Bewitched Guardian,rare,Minion,druid,0.37231,0.31445,0.05226,0.00526
Druid,Charged Devilsaur,epic,Minion,neutral,0.37082,0.31527,0.05045,0.00483
Druid,Bittertide Hydra,epic,Minion,neutral,0.36905,0.31505,0.04901,0.00471
Druid,Claw,basic,Spell,druid,0.36357,0.30722,0.05061,0.00531
Druid,Gnash,common,Spell,druid,0.36292,0.30668,0.05023,0.00553
Druid,Giant Wasp,common,Minion,neutral,0.36252,0.30576,0.05051,0.00579
Druid,Dark Iron Dwarf,common,Minion,neutral,0.36249,0.30662,0.04999,0.00552
Druid,Amani Berserker,common,Minion,neutral,0.36165,0.30475,0.05091,0.00555
Druid,Spiteful Summoner,epic,Minion,neutral,0.3594,0.30702,0.04784,0.0042
Druid,Mad Bomber,common,Minion,neutral,0.35926,0.30394,0.04957,0.0052
Druid,Chillwind Yeti,basic,Minion,neutral,0.35689,0.30182,0.04953,0.00521
Druid,Spellbreaker,common,Minion,neutral,0.34882,0.2952,0.0482,0.0051
Druid,Igneous Elemental,common,Minion,neutral,0.34792,0.29522,0.04726,0.005
Druid,Bloodsail Raider,common,Minion,neutral,0.34202,0.29113,0.04574,0.00481
Druid,Fungal Enchanter,common,Minion,neutral,0.33814,0.28839,0.04475,0.0046
Druid,Sunborne Val'kyr,common,Minion,neutral,0.33683,0.28782,0.04398,0.00462
Druid,Witchwood Apple,common,Spell,druid,0.33385,0.28625,0.04336,0.00395
Druid,Corrosive Sludge,common,Minion,neutral,0.33175,0.28385,0.04277,0.00479
Druid,Scarlet Crusader,common,Minion,neutral,0.33122,0.28292,0.04364,0.00432
Druid,Hench-Clan Thug,common,Minion,neutral,0.33078,0.2819,0.04412,0.00436
Druid,Stormwind Champion,basic,Minion,neutral,0.33029,0.28218,0.04374,0.00413
Druid,Green Jelly,common,Minion,neutral,0.32558,0.2789,0.04207,0.0043
Druid,Dire Wolf Alpha,common,Minion,neutral,0.32327,0.27737,0.04116,0.00438
Druid,Ultimate Infestation,epic,Spell,druid,0.32217,0.27863,0.03942,0.00377
Druid,Oaken Summons,common,Spell,druid,0.31839,0.27444,0.0401,0.00362
Druid,Mossy Horror,epic,Minion,neutral,0.31684,0.27776,0.03594,0.00291
Druid,Worgen Abomination,epic,Minion,neutral,0.30998,0.27136,0.03546,0.0031
Druid,Acidic Swamp Ooze,basic,Minion,neutral,0.28952,0.25277,0.03328,0.00324
Druid,Earthen Ring Farseer,common,Minion,neutral,0.2892,0.25151,0.03438,0.00311
Druid,Weaponized Pinata,epic,Minion,neutral,0.28683,0.25258,0.03168,0.00243
Druid,Nightmare Amalgam,epic,Minion,neutral,0.28565,0.25263,0.03058,0.0023
Druid,Faerie Dragon,common,Minion,neutral,0.28245,0.24695,0.03242,0.00291
Druid,Argent Commander,rare,Minion,neutral,0.27731,0.24577,0.02932,0.00209
Druid,Mind Control Tech,rare,Minion,neutral,0.27338,0.24222,0.02889,0.00217
Druid,Wild Pyromancer,rare,Minion,neutral,0.27199,0.24166,0.02846,0.00181
Druid,Replicating Menace,rare,Minion,neutral,0.26929,0.23827,0.02896,0.00196
Druid,Twilight Drake,rare,Minion,neutral,0.25742,0.22968,0.0258,0.00184
Druid,Sunwalker,rare,Minion,neutral,0.25221,0.22629,0.02427,0.0016
Druid,Nourish,rare,Spell,druid,0.24821,0.22074,0.02551,0.00183
Druid,Bronze Gatekeeper,common,Minion,neutral,0.2352,0.20963,0.02384,0.00165
Druid,Damaged Stegotron,common,Minion,neutral,0.23507,0.20966,0.02352,0.00182
Druid,Explodinator,common,Minion,neutral,0.23441,0.2095,0.023,0.00181
Druid,Brainstormer,common,Minion,neutral,0.23436,0.20973,0.02294,0.00165
Druid,Hoarding Dragon,common,Minion,neutral,0.23424,0.20972,0.02294,0.0015
Druid,Microtech Controller,common,Minion,neutral,0.234,0.21012,0.0224,0.00142
Druid,Bull Dozer,common,Minion,neutral,0.23372,0.20957,0.02249,0.00156
Druid,Rusty Recycler,common,Minion,neutral,0.23364,0.20904,0.02269,0.00184
Druid,Fallen Sun Cleric,common,Minion,neutral,0.23326,0.20846,0.0229,0.00176
Druid,Necrotic Geist,common,Minion,neutral,0.22993,0.20556,0.02259,0.00169
Druid,Argent Squire,common,Minion,neutral,0.21891,0.19704,0.02041,0.00135
Druid,Stranglethorn Tiger,common,Minion,neutral,0.21766,0.19624,0.02004,0.0013
Druid,Corridor Creeper,epic,Minion,neutral,0.21213,0.19185,0.01895,0.00127
Druid,Marsh Drake,common,Minion,neutral,0.21055,0.18975,0.01972,0.00104
Druid,Vicious Scalehide,common,Minion,neutral,0.20864,0.18824,0.01903,0.00132
Druid,Wispering Woods,epic,Spell,druid,0.20103,0.18305,0.01685,0.00108
Druid,Grizzled Guardian,rare,Minion,druid,0.19639,0.17891,0.01659,0.00087
Druid,Sea Giant,epic,Minion,neutral,0.19452,0.17901,0.0149,0.0006
Druid,River Crocolisk,basic,Minion,neutral,0.19425,0.17698,0.01627,0.00095
Druid,Boulderfist Ogre,basic,Minion,neutral,0.19348,0.17658,0.01623,0.00064
Druid,Loose Specimen,epic,Minion,neutral,0.18873,0.17363,0.01423,0.00085
Druid,Muck Hunter,epic,Minion,neutral,0.18811,0.17274,0.01458,0.00079
Druid,Augmented Elekk,epic,Minion,neutral,0.188,0.17283,0.01449,0.00066
Druid,E.M.P. Operative,epic,Minion,neutral,0.18752,0.17192,0.01475,0.0008
Druid,Frost Elemental,common,Minion,neutral,0.18153,0.16668,0.01412,0.00068
Druid,Harvest Golem,common,Minion,neutral,0.1815,0.16624,0.01445,0.0008
Druid,Shattered Sun Cleric,basic,Minion,neutral,0.18061,0.16587,0.01402,0.00071
Druid,Silver Hand Knight,common,Minion,neutral,0.17902,0.16454,0.0138,0.00066
Druid,Sen'jin Shieldmasta,basic,Minion,neutral,0.17744,0.16348,0.01324,0.00071
Druid,Bloodfen Raptor,basic,Minion,neutral,0.17641,0.16246,0.01318,0.00075
Druid,Raging Worgen,common,Minion,neutral,0.17562,0.16182,0.01308,0.0007
Druid,Grave Shambler,common,Minion,neutral,0.17444,0.16027,0.01343,0.00071
Druid,Loot Hoarder,common,Minion,neutral,0.17398,0.15959,0.01363,0.00075
Druid,Giant Mastodon,common,Minion,neutral,0.17281,0.15974,0.01244,0.0006
Druid,Spiteful Smith,common,Minion,neutral,0.17146,0.15831,0.01255,0.00059
Druid,Dendrologist,rare,Minion,druid,0.1714,0.15893,0.01195,0.00051
Druid,Blood Knight,epic,Minion,neutral,0.17134,0.15878,0.01201,0.00052
Druid,Silvermoon Guardian,common,Minion,neutral,0.16877,0.15576,0.01234,0.00067
Druid,Golakka Crawler,rare,Minion,neutral,0.16851,0.1555,0.01233,0.00061
Druid,Thunder Lizard,common,Minion,neutral,0.16843,0.15613,0.01175,0.00054
Druid,Acherus Veteran,common,Minion,neutral,0.16766,0.15497,0.01221,0.00046
Druid,Trogg Gloomeater,common,Minion,neutral,0.16727,0.1542,0.01243,0.00058
Druid,Youthful Brewmaster,common,Minion,neutral,0.16656,0.15327,0.01252,0.00075
Druid,Dire Mole,common,Minion,neutral,0.16622,0.15365,0.01194,0.0006
Druid,Acolyte of Pain,common,Minion,neutral,0.16576,0.15382,0.01152,0.00041
Druid,Volatile Elemental,common,Minion,neutral,0.1657,0.15318,0.0119,0.00059
Druid,Boisterous Bard,common,Minion,neutral,0.16566,0.15352,0.01138,0.00075
Druid,Stegodon,common,Minion,neutral,0.16556,0.15322,0.01176,0.00057
Druid,Sleepy Dragon,common,Minion,neutral,0.1654,0.15344,0.01143,0.00053
Druid,Guild Recruiter,common,Minion,neutral,0.16529,0.15298,0.01173,0.00058
Druid,Emerald Reaver,common,Minion,neutral,0.16499,0.15205,0.01234,0.00059
Druid,Kobold Apprentice,common,Minion,neutral,0.16485,0.15261,0.01171,0.00051
Druid,Sewer Crawler,common,Minion,neutral,0.16463,0.15183,0.01204,0.00071
Druid,Venomancer,common,Minion,neutral,0.1646,0.1517,0.01216,0.0007
Druid,Toothy Chest,common,Minion,neutral,0.16415,0.15156,0.01198,0.0006
Druid,Stormwatcher,common,Minion,neutral,0.16384,0.15169,0.01151,0.00062
Druid,Vryghoul,common,Minion,neutral,0.1637,0.1517,0.01139,0.00061
Druid,Spellshifter,common,Minion,neutral,0.16336,0.15094,0.01178,0.00061
Druid,Swamp Leech,common,Minion,neutral,0.16327,0.15151,0.0112,0.00053
Druid,Tainted Zealot,common,Minion,neutral,0.16272,0.15029,0.01184,0.00057
Druid,Ravasaur Runt,common,Minion,neutral,0.16244,0.15029,0.01155,0.00059
Druid,Pterrordax Hatchling,common,Minion,neutral,0.15967,0.14816,0.01105,0.00046
Druid,Strongshell Scavenger,rare,Minion,druid,0.15946,0.14725,0.01158,0.00059
Druid,Keeper of the Grove,rare,Minion,druid,0.15303,0.14294,0.00967,0.00041
Druid,Biology Project,common,Spell,druid,0.14942,0.13897,0.0101,0.00034
Druid,Barkskin,common,Spell,druid,0.14614,0.1366,0.0091,0.00043
Druid,Volcanosaur,rare,Minion,neutral,0.14258,0.13336,0.0087,0.0005
Druid,Ferocious Howl,common,Spell,druid,0.13966,0.13045,0.00887,0.00033
Druid,Chief Inspector,rare,Minion,neutral,0.12988,0.12232,0.00726,0.0003
Druid,Witchwood Piper,rare,Minion,neutral,0.12665,0.11913,0.00732,0.0002
Druid,Frostwolf Warlord,basic,Minion,neutral,0.11777,0.11122,0.00635,0.0002
Druid,Cult Master,common,Minion,neutral,0.1175,0.11164,0.00566,0.0002
Druid,Felsoul Inquisitor,common,Minion,neutral,0.11681,0.11075,0.00587,0.00018
Druid,Ironbeak Owl,common,Minion,neutral,0.11417,0.10821,0.00572,0.00021
Druid,Ixlid Fungal Lord,legendary,Minion,druid,0.11316,0.10751,0.00539,0.00026
Druid,Cenarius,legendary,Minion,druid,0.11307,0.10747,0.00548,0.00012
Druid,Moonfire,basic,Spell,druid,0.10779,0.10247,0.00516,0.00016
Druid,Innervate,basic,Spell,druid,0.10504,0.09981,0.00504,0.00019
Druid,Void Ripper,epic,Minion,neutral,0.10296,0.09787,0.00495,0.00014
Druid,Healing Touch,basic,Spell,druid,0.10272,0.09792,0.00465,0.00015
Druid,Keening Banshee,rare,Minion,neutral,0.10138,0.09683,0.00436,0.00019
Druid,Murloc Tidehunter,basic,Minion,neutral,0.09683,0.09253,0.00415,0.00015
Druid,Frozen Crusher,rare,Minion,neutral,0.09335,0.08921,0.00401,0.00013
Druid,Ogre Magi,basic,Minion,neutral,0.09303,0.08905,0.00388,0.0001
Druid,Worgen Infiltrator,common,Minion,neutral,0.08973,0.08583,0.00375,0.00015
Druid,Witching Hour,rare,Spell,druid,0.08842,0.08477,0.00357,0.00008
Druid,Earthen Scales,rare,Spell,druid,0.08827,0.08452,0.00367,0.00008
Druid,Venture Co. Mercenary,common,Minion,neutral,0.08786,0.08434,0.00343,0.00009
Druid,Bite,rare,Spell,druid,0.08774,0.08421,0.00349,0.00004
Druid,Stormwind Knight,basic,Minion,neutral,0.08594,0.08261,0.00324,0.00009
Druid,Gnomish Inventor,basic,Minion,neutral,0.08534,0.08183,0.00338,0.00013
Druid,Stampeding Kodo,rare,Minion,neutral,0.08513,0.08184,0.00318,0.00011
Druid,Violet Teacher,rare,Minion,neutral,0.08501,0.08178,0.00313,0.0001
Druid,Wolfrider,basic,Minion,neutral,0.08495,0.0817,0.00314,0.00011
Druid,Fen Creeper,common,Minion,neutral,0.08431,0.08066,0.00353,0.00012
Druid,Kobold Monk,rare,Minion,neutral,0.0842,0.08093,0.0032,0.00007
Druid,Flesheating Ghoul,common,Minion,neutral,0.08363,0.08033,0.00321,0.00009
Druid,Corpse Raiser,rare,Minion,neutral,0.08357,0.0804,0.00309,0.00008
Druid,Reckless Rocketeer,basic,Minion,neutral,0.08354,0.08016,0.00333,0.00005
Druid,Stormpike Commando,basic,Minion,neutral,0.0832,0.08,0.00313,0.00007
Druid,Elven Archer,basic,Minion,neutral,0.08319,0.07986,0.00324,0.00008
Druid,Voodoo Doctor,basic,Minion,neutral,0.08309,0.0799,0.00311,0.00008
Druid,Jungle Panther,common,Minion,neutral,0.08284,0.07962,0.00312,0.00009
Druid,Novice Engineer,basic,Minion,neutral,0.08248,0.07957,0.0028,0.0001
Druid,Archmage,basic,Minion,neutral,0.08247,0.07905,0.00326,0.00015
Druid,Southsea Deckhand,common,Minion,neutral,0.08242,0.07947,0.00287,0.00008
Druid,Mulchmuncher,rare,Minion,druid,0.08236,0.07909,0.00317,0.00009
Druid,Oasis Snapjaw,basic,Minion,neutral,0.08228,0.079,0.00319,0.00009
Druid,Razorfen Hunter,basic,Minion,neutral,0.08223,0.07889,0.00326,0.00008
Druid,Abusive Sergeant,common,Minion,neutral,0.0822,0.07876,0.00333,0.00011
Druid,Bluegill Warrior,basic,Minion,neutral,0.08198,0.07884,0.00308,0.00006
Druid,Darkscale Healer,basic,Minion,neutral,0.08192,0.07881,0.00297,0.00014
Druid,Kobold Geomancer,basic,Minion,neutral,0.08191,0.07889,0.00293,0.00009
Druid,Dragonling Mechanic,basic,Minion,neutral,0.08142,0.07834,0.00302,0.00006
Druid,Ancient Brewmaster,common,Minion,neutral,0.08136,0.07841,0.00291,0.00004
Druid,Ironfur Grizzly,basic,Minion,neutral,0.08091,0.07824,0.00261,0.00006
Druid,Ironforge Rifleman,basic,Minion,neutral,0.08081,0.07774,0.003,0.00007
Druid,Night Prowler,rare,Minion,neutral,0.08024,0.07702,0.00315,0.00007
Druid,Shrieking Shroom,rare,Minion,neutral,0.07965,0.07659,0.00301,0.00005
Druid,Force of Nature,epic,Spell,druid,0.07964,0.07682,0.00271,0.00011
Druid,Scaleworm,rare,Minion,neutral,0.07929,0.07622,0.00298,0.00009
Druid,Seaforium Bomber,epic,Minion,neutral,0.07838,0.07566,0.00265,0.00007
Druid,Omega Defender,epic,Minion,neutral,0.07805,0.07511,0.00277,0.00016
Druid,Arfus,legendary,Minion,neutral,0.07757,0.07504,0.00248,0.00005
Druid,Zilliax,legendary,Minion,neutral,0.07755,0.07471,0.00276,0.00008
Druid,Gurubashi Berserker,basic,Minion,neutral,0.07728,0.0744,0.00277,0.0001
Druid,Tyrantus,legendary,Minion,druid,0.07671,0.07373,0.0029,0.00008
Druid,Elise the Trailblazer,legendary,Minion,neutral,0.07655,0.07366,0.0028,0.00009
Druid,Hadronox,legendary,Minion,druid,0.07593,0.07303,0.0028,0.00009
Druid,Witch's Cauldron,epic,Minion,neutral,0.07568,0.07294,0.00264,0.0001
Druid,Splintergraft,legendary,Minion,druid,0.07454,0.07186,0.00263,0.00005
Druid,Fatespinner,epic,Minion,druid,0.07311,0.07078,0.00226,0.00007
Druid,Gentle Megasaur,epic,Minion,neutral,0.07255,0.07007,0.00243,0.00003
Druid,Bright-Eyed Scout,epic,Minion,neutral,0.07121,0.06915,0.002,0.00006
Druid,Knife Juggler,rare,Minion,neutral,0.06792,0.06573,0.00215,0.00004
Druid,Goblin Bomb,common,Minion,neutral,0.06696,0.06479,0.00209,0.00007
Druid,Whirliglider,common,Minion,neutral,0.06686,0.06475,0.00208,0.00003
Druid,Wyrmguard,common,Minion,neutral,0.06629,0.06404,0.00221,0.00004
Druid,Faithful Lumi,common,Minion,neutral,0.06608,0.06399,0.00206,0.00003
Druid,Swamp Dragon Egg,common,Minion,neutral,0.06505,0.0629,0.00212,0.00003
Druid,Ultrasaur,common,Minion,neutral,0.06428,0.06243,0.00181,0.00004
Druid,Sneaky Devil,common,Minion,neutral,0.06389,0.06177,0.0021,0.00002
Druid,Silver Vanguard,common,Minion,neutral,0.06364,0.06167,0.00194,0.00003
Druid,Cauldron Elemental,common,Minion,neutral,0.06321,0.06118,0.00198,0.00005
Druid,Evolving Spores,rare,Spell,druid,0.06233,0.06033,0.00195,0.00005
Druid,Bloodworm,common,Minion,neutral,0.06214,0.0604,0.0017,0.00004
Druid,Night Howler,common,Minion,neutral,0.06174,0.06008,0.00161,0.00005
Druid,Clockwork Automaton,common,Minion,neutral,0.06111,0.05922,0.00186,0.00003
Druid,Dread Corsair,common,Minion,neutral,0.0609,0.05906,0.0018,0.00004
Druid,Primalfin Lookout,common,Minion,neutral,0.06056,0.05875,0.00177,0.00004
Druid,Lost Spirit,common,Minion,neutral,0.05917,0.05754,0.00159,0.00004
Druid,Hungry Ettin,rare,Minion,neutral,0.0572,0.05557,0.00158,0.00005
Druid,Dreampetal Florist,epic,Minion,druid,0.05672,0.0553,0.00141,0.00001
Druid,Spark Drill,rare,Minion,neutral,0.05644,0.055,0.00141,0.00003
Druid,Blazecaller,epic,Minion,neutral,0.05628,0.05445,0.00178,0.00004
Druid,Servant of Kalimos,rare,Minion,neutral,0.05568,0.05429,0.00136,0.00003
Druid,Carnivorous Cube,epic,Minion,neutral,0.05547,0.05398,0.00146,0.00003
Druid,Spark Engine,rare,Minion,neutral,0.0553,0.05396,0.00132,0.00002
Druid,Galvanizer,rare,Minion,neutral,0.05508,0.05363,0.00143,0.00002
Druid,Mechanical Whelp,rare,Minion,neutral,0.05497,0.05348,0.00149,0
Druid,Shallow Gravedigger,rare,Minion,neutral,0.05445,0.05297,0.00148,0
Druid,Wax Elemental,common,Minion,neutral,0.05433,0.05294,0.00137,0.00002
Druid,Cairne Bloodhoof,legendary,Minion,neutral,0.05385,0.05251,0.00133,0.00001
Druid,Spellweaver,common,Minion,neutral,0.05322,0.05188,0.00131,0.00003
Druid,Lifedrinker,rare,Minion,neutral,0.053,0.05164,0.00136,0
Druid,Astral Tiger,epic,Minion,druid,0.05299,0.05166,0.00131,0.00002
Druid,Skelemancer,common,Minion,neutral,0.05283,0.05145,0.00136,0.00002
Druid,Baron Geddon,legendary,Minion,neutral,0.05261,0.05125,0.00135,0.00001
Druid,Sabretooth Stalker,common,Minion,neutral,0.05259,0.05132,0.00126,0.00001
Druid,Splitting Festeroot,epic,Minion,neutral,0.05258,0.05141,0.00115,0.00002
Druid,Wretched Tiller,common,Minion,neutral,0.05216,0.05075,0.00139,0.00002
Druid,Ancient of Lore,epic,Minion,druid,0.05185,0.05051,0.00134,0
Druid,Onyxia,legendary,Minion,neutral,0.05143,0.05002,0.00139,0.00002
Druid,The Black Knight,legendary,Minion,neutral,0.05111,0.04994,0.00117,0
Druid,Marin the Fox,legendary,Minion,neutral,0.0505,0.04938,0.0011,0.00002
Druid,Arcane Tyrant,epic,Minion,neutral,0.0481,0.04712,0.00097,0.00001
Druid,Deadscale Knight,common,Minion,neutral,0.04723,0.04594,0.00127,0.00002
Druid,Darkmire Moonkin,common,Minion,neutral,0.047,0.04591,0.00107,0.00002
Druid,Alexstrasza,legendary,Minion,neutral,0.04664,0.04559,0.00105,0
Druid,Snowflipper Penguin,common,Minion,neutral,0.04661,0.04558,0.00103,0
Druid,Tol'vir Stoneshaper,rare,Minion,neutral,0.04653,0.04555,0.00098,0
Druid,Unpowered Steambot,common,Minion,neutral,0.04645,0.04527,0.00117,0.00001
Druid,Wicked Skeleton,common,Minion,neutral,0.04618,0.04533,0.00083,0.00002
Druid,The Lich King,legendary,Minion,neutral,0.04377,0.04294,0.00082,0.00001
Druid,Defender of Argus,rare,Minion,neutral,0.04334,0.04237,0.00096,0.00001
Druid,Twig of the World Tree,legendary,Weapon,druid,0.04257,0.04172,0.00083,0.00002
Druid,Pint-Sized Summoner,rare,Minion,neutral,0.04233,0.04148,0.00083,0.00002
Druid,Injured Blademaster,rare,Minion,neutral,0.04179,0.04085,0.00092,0.00002
Druid,Sunfury Protector,rare,Minion,neutral,0.04096,0.04028,0.00068,0
Druid,Emperor Cobra,rare,Minion,neutral,0.04083,0.03994,0.00088,0.00001
Druid,Crazed Alchemist,rare,Minion,neutral,0.04072,0.03998,0.00072,0.00002
Druid,Happy Ghoul,rare,Minion,neutral,0.04018,0.03942,0.00075,0.00001
Druid,Mindbreaker,rare,Minion,neutral,0.03999,0.0392,0.00078,0.00001
Druid,Gruul,legendary,Minion,neutral,0.03974,0.03889,0.00084,0.00001
Druid,Scorp-o-matic,rare,Minion,neutral,0.03922,0.03853,0.00069,0
Druid,Feral Gibberer,rare,Minion,neutral,0.03884,0.03827,0.00055,0.00002
Druid,Holomancer,epic,Minion,neutral,0.03881,0.03804,0.00076,0.00001
Druid,Voodoo Doll,epic,Minion,neutral,0.03877,0.03801,0.00076,0
Druid,Crystallizer,epic,Minion,neutral,0.038,0.03725,0.00075,0
Druid,Gluttonous Ooze,epic,Minion,neutral,0.03788,0.03722,0.00063,0.00003
Druid,Mad Hatter,rare,Minion,neutral,0.03583,0.0353,0.00053,0
